,source_file,file,function,type,line,cyclomatic_complexity,cc_rank,loc,loc_span,volume,difficulty,effort,time,bugs,model,language,complexity_category,number_changes,change_per_days,age_days
143,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.month,METHOD,105,1,A,2.0,2.0,38.0391000173078,5.0,190.195500086539,10.5664166714744,0.0126797000057692,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
144,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.year,METHOD,109,1,A,2.0,2.0,38.0391000173078,5.0,190.195500086539,10.5664166714744,0.0126797000057692,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
145,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.timeStepPCR,METHOD,113,1,A,2.0,2.0,31.6992500144231,4.0,126.797000057692,7.04427778098292,0.0105664166714744,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
146,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.monthIdx,METHOD,117,1,A,2.0,2.0,31.6992500144231,4.0,126.797000057692,7.04427778098292,0.0105664166714744,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
147,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.annuaIdx,METHOD,121,1,A,2.0,2.0,31.6992500144231,4.0,126.797000057692,7.04427778098292,0.0105664166714744,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
148,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.nrOfTimeSteps,METHOD,125,1,A,2.0,2.0,31.6992500144231,4.0,126.797000057692,7.04427778098292,0.0105664166714744,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
149,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.fulldate,METHOD,129,1,A,2.0,2.0,31.6992500144231,4.0,126.797000057692,7.04427778098292,0.0105664166714744,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
150,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.update,METHOD,132,4,A,11.0,21.0,750.391861379118,15.6481481481482,11742.2430160251,652.346834223616,0.250130620459706,PCR-GLOBWB,python,b1,4.0,0.0009826513780632126,4070.619641203704
151,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.isFirstTimestep,METHOD,154,1,A,2.0,2.0,41.5131794236476,4.375,181.620159978458,10.0900088876921,0.0138377264745492,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
152,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.isFirstDayOfMonth,METHOD,157,1,A,2.0,2.0,41.5131794236476,4.375,181.620159978458,10.0900088876921,0.0138377264745492,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
153,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.isFirstDayOfYear,METHOD,160,1,A,2.0,2.0,41.5131794236476,4.375,181.620159978458,10.0900088876921,0.0138377264745492,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
154,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.isLastDayOfMonth,METHOD,163,1,A,3.0,5.0,108.4180500375,6.0,650.508300225001,36.1393500125,0.0361393500125,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
155,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.isLastDayOfYear,METHOD,169,1,A,3.0,5.0,127.437825403308,5.85,745.511278609349,41.417293256075,0.0424792751344359,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
156,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.isLastTimeStep,METHOD,175,1,A,2.0,2.0,48.4320426609222,5.25,254.268223969841,14.126012442769,0.0161440142203074,PCR-GLOBWB,python,b1,1.0,0.00025576331473400204,3909.8648726851857
157,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.yesterday,METHOD,178,1,A,3.0,3.0,125.097750043269,5.2,650.508300225001,36.1393500125,0.0416992500144231,PCR-GLOBWB,python,b1,3.0,0.0007369885335474095,4070.619641203704
158,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.endMonth,METHOD,184,1,A,2.0,2.0,38.0391000173078,4.0,152.156400069231,8.4531333371795,0.0126797000057692,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
159,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.endYear,METHOD,189,1,A,2.0,2.0,38.0391000173078,4.0,152.156400069231,8.4531333371795,0.0126797000057692,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
160,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py,ModelTime.__str__,METHOD,192,1,A,2.0,3.0,43.1850652335357,3.75,161.943994625759,8.99688859031994,0.0143950217445119,PCR-GLOBWB,python,b1,2.0,0.0004913256890316063,4070.619641203704
161,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py, ModelTime  (aggregate) ,CLASS_AGG,33,33,E,,,,,,,,PCR-GLOBWB,python,b3,,,
162,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/currTimeStep.py, currTimeStep.py  (module  aggregate) ,MODULE_AGG,1,33,E,,,,,,,,PCR-GLOBWB,python,b3,,,
163,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/deterministic_runner.py,<module>,FUNCTION,1,2,A,16.0,,369.871188959655,5.46428571428571,2021.08185395812,112.282325219895,0.123290396319885,PCR-GLOBWB,python,b1,,,
164,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/deterministic_runner.py,main,FUNCTION,70,10,B,57.0,93.0,2684.62085560372,32.0526315789474,86049.1632138247,4780.5090674347,0.894873618534575,PCR-GLOBWB,python,b1,14.0,0.0034392798232212446,4070.619641203704
165,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/deterministic_runner.py,DeterministicRunner,CLASS,44,2,A,13.0,25.0,514.945985483523,10.575,5445.55379648825,302.53076647157,0.171648661827841,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
166,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/deterministic_runner.py,DeterministicRunner.__init__,METHOD,46,1,A,5.0,6.0,212.666175073558,7.95454545454546,1691.66275626694,93.9812642370521,0.0708887250245193,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
167,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/deterministic_runner.py,DeterministicRunner.initial,METHOD,53,1,A,2.0,2.0,19.6514844544032,2.5,49.1287111360081,2.72937284088934,0.0065504948181344,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
168,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/deterministic_runner.py,DeterministicRunner.dynamic,METHOD,56,1,A,5.0,13.0,171.673439332514,4.90909090909091,842.760520359616,46.8200289088675,0.0572244797775048,PCR-GLOBWB,python,b1,1.0,0.00024566284451580316,4070.619641203704
