,source_file,file,function,type,line,cyclomatic_complexity,cc_rank,loc,loc_span,volume,difficulty,effort,time,bugs,model,language,complexity_category,number_changes,change_per_days,age_days
0,func_metrics_18_VIC_python,./models/18_VIC/tests/archive_tests.py,<module>,FUNCTION,1,2,A,6.0,,121.013986656846,5.31818181818182,643.574383584137,35.7541324213409,0.0403379955522821,VIC,python,b1,,,
1,func_metrics_18_VIC_python,./models/18_VIC/tests/archive_tests.py,main,FUNCTION,12,1,A,20.0,28.0,712.97033935535,12.6,8983.42627587742,499.079237548745,0.237656779785117,VIC,python,b1,2.0,0.001165686433209716,1715.7272685185183
2,func_metrics_18_VIC_python,./models/18_VIC/tests/archive_tests.py, archive_tests.py  (module  aggregate) ,MODULE_AGG,1,1,A,,,,,,,,VIC,python,b1,,,
3,func_metrics_18_VIC_python,./models/18_VIC/tests/run_profiling.py,<module>,FUNCTION,1,4,A,187.0,,4036.1489056429,64.6829268292683,261069.924335731,14503.8846853184,1.34538296854763,VIC,python,b1,,,
4,func_metrics_18_VIC_python,./models/18_VIC/tests/run_profiling.py,log2_range,FUNCTION,25,1,A,4.0,6.0,190.164836175044,6.33333333333333,1204.37729577528,66.9098497652933,0.0633882787250147,VIC,python,b1,2.0,0.0017347580797035201,1152.8985069444445
5,func_metrics_18_VIC_python,./models/18_VIC/tests/run_profiling.py,main,FUNCTION,232,4,A,35.0,42.0,1290.12633766659,24.5454545454546,31666.737379089,1759.26318772716,0.430042112555529,VIC,python,b1,2.0,0.0017347580797035201,1152.8985069444445
6,func_metrics_18_VIC_python,./models/18_VIC/tests/run_profiling.py,run_profiling,FUNCTION,276,1,A,5.0,5.0,137.607525047596,5.09090909090909,700.547400242309,38.9193000134616,0.0458691750158654,VIC,python,b1,1.0,0.0008673790398517601,1152.8985069444445
7,func_metrics_18_VIC_python,./models/18_VIC/tests/run_profiling.py,run_scaling,FUNCTION,283,6,B,43.0,53.0,2200.41260308324,28.7307692307692,63219.5467116609,3512.19703953672,0.733470867694414,VIC,python,b1,5.0,0.0043368951992588,1152.8985069444445
8,func_metrics_18_VIC_python,./models/18_VIC/tests/run_profiling.py,get_header_info,FUNCTION,338,2,A,17.0,17.0,554.478637303763,22.5,12475.7693393347,693.098296629703,0.184826212434588,VIC,python,b1,4.0,0.0034695161594070403,1152.8985069444445
9,func_metrics_18_VIC_python,./models/18_VIC/tests/run_profiling.py,CustomFormatter,CLASS,227,1,A,3.0,3.0,44.9726110422849,4.375,196.755173309996,10.9308429616665,0.0149908703474283,VIC,python,b1,1.0,0.0008673790398517601,1152.8985069444445
10,func_metrics_18_VIC_python,./models/18_VIC/tests/run_profiling.py, run_profiling.py  (module  aggregate) ,MODULE_AGG,1,14,C,,,,,,,,VIC,python,b2,,,
11,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,<module>,FUNCTION,1,4,A,65.0,,1112.13109739296,8.76984126984127,9753.21319539063,541.845177521701,0.370710365797653,VIC,python,b1,,,
12,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,main,FUNCTION,109,26,D,118.0,156.0,6344.96201419449,49.5294117647059,314262.236232456,17459.0131240254,2.11498733806483,VIC,python,b3,13.0,0.007576961815863153,1715.7272685185183
13,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,run_unit_tests,FUNCTION,267,1,A,14.0,36.0,570.016535487505,18.7894736842105,10710.3106931073,595.017260728185,0.190005511829168,VIC,python,b1,7.0,0.004079902516234006,1715.7272685185183
14,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,run_system,FUNCTION,305,62,F,255.0,370.0,11807.2591227085,85.8648648648649,1013828.70899581,56323.817166434,3.93575304090285,VIC,python,b4,17.0,0.009908334682282584,1715.7272685185183
15,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,run_science,FUNCTION,677,9,B,74.0,152.0,3221.36369408411,35.6756756756757,114924.326383541,6384.68479908562,1.07378789802804,VIC,python,b1,9.0,0.005245588949443721,1715.7272685185183
16,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,run_examples,FUNCTION,831,9,B,64.0,136.0,2910.23745014487,34.4571428571429,100278.467567849,5571.02597599161,0.97007915004829,VIC,python,b1,8.0,0.004662745732838864,1715.7272685185183
17,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,run_release,FUNCTION,969,1,A,3.0,6.0,34.8691750158654,2.5,87.1729375396636,4.84294097442576,0.0116230583386218,VIC,python,b1,2.0,0.001165686433209716,1715.7272685185183
18,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,CustomFormatter,CLASS,78,1,A,3.0,3.0,44.9726110422849,4.375,196.755173309996,10.9308429616665,0.0149908703474283,VIC,python,b1,1.0,0.000582843216604858,1715.7272685185183
19,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,TestResults,CLASS,83,2,A,17.0,24.0,549.951447022508,15.0882352941177,8297.79683301607,460.988712945337,0.183317149007503,VIC,python,b1,2.0,0.001165686433209716,1715.7272685185183
20,func_metrics_18_VIC_python,./models/18_VIC/tests/run_tests.py,TestResults.__init__,METHOD,85,1,A,8.0,8.0,241.855650083654,9.86363636363636,2385.57618491604,132.532010273114,0.0806185500278847,VIC,python,b1,1.0,0.000582843216604858,1715.7272685185183
