file,total_lines,include_lines,code_lines,comment_lines,preproc_lines,blank_lines_raw,inline_comment_count,comments_per_loc,function_count,avg_func_loc,module_count
./models/01_CTSM/components/cdeps/datm/datm_datamode_gefs_mod.F90,218,0,162,30,0,34,30,0.1852,3,39.0,1
./models/01_CTSM/components/cdeps/datm/datm_datamode_jra_mod.F90,303,0,236,37,0,43,37,0.1568,3,61.0,1
./models/01_CTSM/components/cdeps/datm/datm_datamode_simple_mod.F90,342,0,269,45,0,48,45,0.1673,3,65.67,1
./models/01_CTSM/components/cdeps/dglc/dglc_datamode_noevolve_mod.F90,698,0,494,152,0,98,152,0.3077,7,59.43,1
./models/01_CTSM/components/cdeps/dglc/glc_comp_nuopc.F90,839,0,567,169,10,138,169,0.2981,8,59.12,1
./models/01_CTSM/components/cdeps/dice/dice_datamode_cplhist_mod.F90,202,0,137,32,0,37,32,0.2336,5,19.8,1
./models/01_CTSM/components/cdeps/dice/dice_datamode_ssmi_mod.F90,610,0,465,118,0,69,118,0.2538,5,72.2,1
./models/01_CTSM/components/cdeps/dice/dice_flux_atmice_mod.F90,270,0,178,119,0,39,119,0.6685,1,160.0,1
./models/01_CTSM/components/cdeps/dice/ice_comp_nuopc.F90,659,0,450,149,5,105,149,0.3311,7,52.43,1
./models/01_CTSM/components/cdeps/dlnd/lnd_comp_nuopc.F90,601,0,382,144,5,108,144,0.377,8,36.25,1
./models/01_CTSM/components/cdeps/docn/docn_datamode_aquaplanet_mod.F90,315,0,248,42,0,42,42,0.1694,3,70.0,1
./models/01_CTSM/components/cdeps/docn/docn_datamode_copyall_mod.F90,126,0,80,22,0,29,22,0.275,3,18.33,1
./models/01_CTSM/components/cdeps/docn/docn_datamode_cplhist_mod.F90,135,0,83,29,0,31,29,0.3494,3,19.33,1
./models/01_CTSM/components/cdeps/docn/docn_datamode_iaf_mod.F90,172,0,118,27,0,33,27,0.2288,3,28.33,1
./models/01_CTSM/components/cdeps/docn/docn_datamode_multilev_dom_mod.F90,223,0,160,30,0,38,30,0.1875,3,41.0,1
./models/01_CTSM/components/cdeps/docn/docn_datamode_multilev_mod.F90,187,0,128,28,0,34,28,0.2188,3,32.33,1
./models/01_CTSM/components/cdeps/docn/docn_datamode_som_mod.F90,351,0,248,63,0,58,63,0.254,5,37.2,1
./models/01_CTSM/components/cdeps/docn/docn_import_data_mod.F90,135,0,95,35,0,20,35,0.3684,2,40.5,1
./models/01_CTSM/components/cdeps/docn/ocn_comp_nuopc.F90,735,0,534,142,5,100,142,0.2659,7,63.0,1
./models/01_CTSM/components/cdeps/drof/rof_comp_nuopc.F90,485,0,326,108,5,80,108,0.3313,6,40.0,1
./models/01_CTSM/components/cdeps/dshr/dshr_dfield_mod.F90,503,0,375,64,0,67,64,0.1707,5,67.6,1
./models/01_CTSM/components/cdeps/dshr/dshr_fldlist_mod.F90,159,0,108,21,0,32,21,0.1944,3,31.33,1
./models/01_CTSM/components/cdeps/dshr/dshr_mod.F90,1584,0,1199,207,12,211,207,0.1726,15,69.8,1
./models/01_CTSM/components/cdeps/dwav/wav_comp_nuopc.F90,533,0,338,121,5,101,121,0.358,8,31.25,1
./models/01_CTSM/components/cdeps/fox/cmake/abort_bare.f90,4,0,3,0,0,1,0,0.0,1,1.0,0
./models/01_CTSM/components/cdeps/fox/cmake/abort_intel.f90,4,0,3,0,0,1,0,0.0,1,1.0,0
./models/01_CTSM/components/cdeps/fox/cmake/abort_nag.f90,5,0,4,0,0,1,0,0.0,1,1.0,0
./models/01_CTSM/components/cdeps/fox/cmake/abort_xlf.f90,4,0,3,0,0,1,0,0.0,1,1.0,0
./models/01_CTSM/components/cdeps/fox/cmake/associated_bug.f90,6,0,5,0,0,1,0,0.0,1,5.0,0
