file,function,type,line,cyclomatic_complexity,cc_rank,loc,loc_span,volume,difficulty,effort,time,bugs
./models/12_hydropy/analysis_class.py,<module>,FUNCTION,1,1,A,8.0,,114.4489595550095,2.4615384615384617,281.7205158277157,15.651139768206427,0.038149653185003164
./models/12_hydropy/analysis_class.py,mass_balance,CLASS,60,3,A,175.0,210.0,8958.487903154639,108.5,971995.9374922783,53999.77430512657,2.9861626343848795
./models/12_hydropy/analysis_class.py,mass_balance.__init__,METHOD,64,2,A,50.0,57.0,1724.441872247518,49.333333333333336,85072.46569754422,4726.248094308012,0.5748139574158393
./models/12_hydropy/analysis_class.py,mass_balance.add_source,METHOD,124,2,A,6.0,6.0,190.16483617504394,11.61111111111111,2208.025042254677,122.6680579030376,0.06338827872501465
./models/12_hydropy/analysis_class.py,mass_balance.add_sink,METHOD,132,2,A,6.0,6.0,190.16483617504394,11.61111111111111,2208.025042254677,122.6680579030376,0.06338827872501465
./models/12_hydropy/analysis_class.py,mass_balance.add_sink_latflow,METHOD,140,2,A,6.0,6.0,186.90881059151775,13.0625,2441.4963383517006,135.63868546398336,0.062302936863839246
./models/12_hydropy/analysis_class.py,mass_balance.add_sink_2ocean,METHOD,148,2,A,6.0,6.0,186.90881059151775,13.0625,2441.4963383517006,135.63868546398336,0.062302936863839246
./models/12_hydropy/analysis_class.py,mass_balance.add_storage_start,METHOD,156,2,A,6.0,6.0,190.16483617504394,11.61111111111111,2208.025042254677,122.6680579030376,0.06338827872501465
./models/12_hydropy/analysis_class.py,mass_balance.add_storage_end,METHOD,164,2,A,6.0,6.0,190.16483617504394,11.61111111111111,2208.025042254677,122.6680579030376,0.06338827872501465
./models/12_hydropy/analysis_class.py,mass_balance.check_out,METHOD,172,6,B,87.0,98.0,4806.7797312355815,66.30508474576271,318713.9374337898,17706.329857432764,1.6022599104118604
./models/12_hydropy/analysis_class.py,spinup,CLASS,275,4,A,70.0,101.0,3241.334656858312,58.673469387755105,190180.34976464586,10565.57498692477,1.0804448856194373
./models/12_hydropy/analysis_class.py,spinup.__init__,METHOD,279,1,A,8.0,11.0,172.8771237954945,9.0,1555.8941141594505,86.43856189774725,0.0576257079318315
./models/12_hydropy/analysis_class.py,spinup.add_states,METHOD,293,3,A,11.0,17.0,543.2311061925092,22.533333333333335,12240.807592871208,680.0448662706226,0.18107703539750306
./models/12_hydropy/analysis_class.py,spinup.evaluate,METHOD,314,6,B,50.0,62.0,2187.6844520009695,48.92307692307692,107028.25472866281,5946.014151592379,0.7292281506669899
./models/12_hydropy/analysis_class.py,log_cells,CLASS,381,7,B,122.0,165.0,10509.069913605104,104.2207792207792,1095263.4552815708,60847.969737865045,3.5030233045350347
./models/12_hydropy/analysis_class.py,log_cells.__init__,METHOD,385,6,B,25.0,31.0,2064.843065014318,37.5,77431.61493803693,4301.756385446496,0.6882810216714395
./models/12_hydropy/analysis_class.py,log_cells.add_value,METHOD,420,3,A,8.0,11.0,755.3707380161977,22.095238095238095,16690.096306643605,927.2275725913114,0.25179024600539923
./models/12_hydropy/analysis_class.py,log_cells.calc_balance,METHOD,434,13,C,75.0,95.0,5020.917818055825,166.83333333333331,837656.4559789799,46536.46977661,1.673639272685275
./models/12_hydropy/analysis_class.py,log_cells.write_logfile,METHOD,532,3,A,12.0,14.0,861.5205616745466,19.32,16644.57725155224,924.6987361973466,0.2871735205581822
./models/12_hydropy/analysis_class.py,mass_balance (aggregate),CLASS_AGG,64,20,C,,,,,,,
./models/12_hydropy/analysis_class.py,spinup (aggregate),CLASS_AGG,279,10,B,,,,,,,
./models/12_hydropy/analysis_class.py,log_cells (aggregate),CLASS_AGG,385,25,D,,,,,,,
./models/12_hydropy/analysis_class.py,analysis_class.py (module aggregate),MODULE_AGG,1,55,F,,,,,,,
./models/12_hydropy/dataio_class.py,<module>,FUNCTION,1,1,A,14.0,,216.22022703449022,2.272727272727273,491.40960689656873,27.30053371647604,0.07207340901149674
./models/12_hydropy/dataio_class.py,forcing,CLASS,61,8,B,33.0,49.0,1734.741112255876,31.825581395348838,55209.14446795736,3067.1746926642977,0.5782470374186254
./models/12_hydropy/dataio_class.py,forcing.__init__,METHOD,62,12,C,29.0,42.0,1613.8655793449775,30.04878048780488,48494.692530561275,2694.149585031182,0.5379551931149925
./models/12_hydropy/dataio_class.py,forcing.close,METHOD,107,1,A,3.0,3.0,44.37895002019237,3.75,166.42106257572138,9.245614587540077,0.014792983340064124
./models/12_hydropy/dataio_class.py,output_stream,CLASS,113,4,A,68.0,91.0,4710.452065196638,57.921875,272838.2157138115,15157.678650767306,1.5701506883988792
./models/12_hydropy/dataio_class.py,output_stream.__init__,METHOD,114,1,A,20.0,27.0,1168.3183663883817,17.333333333333332,20250.85168406528,1125.0473157814044,0.3894394554627939
./models/12_hydropy/dataio_class.py,output_stream.var2stream,METHOD,143,7,B,32.0,38.0,2064.9367642199577,43.0,88792.28086145819,4932.9044923032325,0.6883122547399859
./models/12_hydropy/dataio_class.py,output_stream.write_variable,METHOD,183,5,A,12.0,16.0,630.0,27.0,17010.0,945.0,0.21
./models/12_hydropy/dataio_class.py,output_stream.close,METHOD,201,1,A,3.0,3.0,44.37895002019237,3.75,166.42106257572138,9.245614587540077,0.014792983340064124
./models/12_hydropy/dataio_class.py,variables,CLASS,207,10,B,241.0,320.0,15288.907556008673,108.55384615384615,1659669.7186953414,92203.8732608523,5.096302518669558
./models/12_hydropy/dataio_class.py,variables.__init__,METHOD,208,2,A,23.0,34.0,952.6251289848379,23.700000000000003,22577.21555694066,1254.28975316337,0.31754170966161266
./models/12_hydropy/dataio_class.py,variables.add_variable,METHOD,246,10,B,47.0,65.0,2689.7759655749624,43.72093023255814,117599.50733211463,6533.305962895258,0.8965919885249874
./models/12_hydropy/dataio_class.py,variables.initialize,METHOD,316,11,C,64.0,75.0,3155.2033942890107,46.43396226415095,146508.59534613692,8139.366408118718,1.0517344647630036
