file,function,type,line,do_loops,is_recursive,cyclomatic_complexity,loc,volume,difficulty,effort,time,bugs
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/mapsort_mod.F90,mapsort_sortMatRC,SUBROUTINE,297,0,False,5,32,1093.8422260004847,14.067307692307692,15387.415159987588,854.8563977770882,0.36461407533349494
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/mapsort_mod.F90,mapsort_qsortRC,SUBROUTINE,369,0,True,2,15,450.8318642452056,11.826086956521738,5331.5768293346055,296.1987127408114,0.1502772880817352
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/mapsort_mod.F90,mapsort_QsortC,SUBROUTINE,589,0,True,2,15,450.8318642452056,11.826086956521738,5331.5768293346055,296.1987127408114,0.1502772880817352
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_gridRead,SUBROUTINE,312,20,False,73,514,21709.05879714721,135.3089005235602,2937428.877243311,163190.49318018396,7.2363529323824025
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_check,SUBROUTINE,2210,9,False,32,211,8265.107670147412,59.16260162601626,488985.2724850628,27165.848471392375,2.7550358900491374
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_read,SUBROUTINE,89,1,False,27,167,5905.833585200842,45.30337078651685,267554.1687138179,14864.120484100995,1.9686111950669474
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_matMatMult,SUBROUTINE,1947,11,False,27,173,5712.004465924156,52.977777777777774,302609.30326140416,16811.6279589669,1.9040014886413852
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_gennn,SUBROUTINE,1113,7,False,20,97,2983.6041527475268,41.898305084745765,125007.95704393028,6944.886502440571,0.9945347175825089
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_gennn0,SUBROUTINE,983,4,False,14,79,2645.8839376460833,32.58860759493671,86225.6733856942,4790.315188094122,0.8819613125486945
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_DestGridRead,SUBROUTINE,2513,0,False,8,89,2572.8587256014443,28.221311475409838,72609.44747742437,4033.8581931902427,0.8576195752004815
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_bxindex,SUBROUTINE,1848,0,False,6,34,1100.5519570060712,24.857142857142858,27356.577217008056,1519.8098453893365,0.3668506523353571
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,nSij,FUNCTION,1904,1,False,5,17,401.2899011413369,17.36842105263158,6969.77196719164,387.2095537328689,0.13376330038044562
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_write,SUBROUTINE,1350,0,False,4,166,6558.338310510518,34.623655913978496,227073.64903057922,12615.202723921067,2.1861127701701726
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_print,SUBROUTINE,1271,2,False,3,53,2474.139925578367,13.681818181818182,33850.732618140384,1880.5962565633547,0.8247133085261223
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_Sn1,SUBROUTINE,1606,2,False,3,13,315.78222090468125,6.375,2013.111658267343,111.83953657040794,0.10526074030156042
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_distance,FUNCTION,2484,0,False,3,12,474.17304721969464,12.0,5690.076566636336,316.11536481312976,0.15805768240656487
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_boundpta,SUBROUTINE,1240,0,False,2,20,813.0296890880645,11.847826086956522,9632.634359847721,535.1463533248734,0.2710098963626882
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_dup,SUBROUTINE,1647,0,False,1,81,2445.515158820931,6.90566037735849,16887.89713449926,938.2165074721811,0.815171719606977
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/map_mod.F90,map_free,SUBROUTINE,1771,0,False,1,32,867.199227100951,4.430232558139535,3841.8942502960736,213.43856946089298,0.28906640903365033
