file,total_lines,code_lines,comment_lines,blank_lines_raw,comments_per_loc,function_count,avg_func_loc
./models/14_PCR-GLOBWB_model/modflow/scripts/groundwater.py,889,533,219,137,0.4109,12,43.58
./models/14_PCR-GLOBWB_model/modflow/scripts/groundwater_MODFLOW.py,1747,892,517,338,0.5796,27,32.59
./models/14_PCR-GLOBWB_model/modflow/scripts/landCover.py,3829,2110,1202,517,0.5697,28,75.04
./models/14_PCR-GLOBWB_model/modflow/scripts/landSurface.py,1507,961,320,226,0.333,15,63.6
./models/14_PCR-GLOBWB_model/modflow/scripts/merge_netcdf.py,461,282,99,80,0.3511,6,38.83
./models/14_PCR-GLOBWB_model/modflow/scripts/merge_pcraster_maps.py,306,220,58,28,0.2636,8,16.25
./models/14_PCR-GLOBWB_model/modflow/scripts/meteo.py,539,365,103,71,0.2822,8,44.5
./models/14_PCR-GLOBWB_model/modflow/scripts/modflow.py,193,105,40,48,0.381,10,9.4
./models/14_PCR-GLOBWB_model/modflow/scripts/ncConverter.py,210,120,35,55,0.2917,8,13.5
./models/14_PCR-GLOBWB_model/modflow/scripts/oldcalc_framework.py,256,152,53,51,0.3487,4,35.0
./models/14_PCR-GLOBWB_model/modflow/scripts/parallel_pcrglobwb_runner.py,177,89,52,36,0.5843,0,0.0
./models/14_PCR-GLOBWB_model/modflow/scripts/parameterSoilAndTopo.py,422,296,79,47,0.2669,5,58.4
./models/14_PCR-GLOBWB_model/modflow/scripts/pcrglobwb.py,483,289,78,116,0.2699,16,17.12
./models/14_PCR-GLOBWB_model/modflow/scripts/reporting.py,1063,578,268,217,0.4637,9,63.22
./models/14_PCR-GLOBWB_model/modflow/scripts/reporting_for_modflow.py,487,273,119,95,0.4359,6,44.33
./models/14_PCR-GLOBWB_model/modflow/scripts/routing.py,1976,1029,596,351,0.5792,30,33.93
./models/14_PCR-GLOBWB_model/modflow/scripts/spinUp.py,206,110,45,51,0.4091,8,12.62
./models/14_PCR-GLOBWB_model/modflow/scripts/variable_list.py,1422,1129,162,131,0.1435,0,0.0
./models/14_PCR-GLOBWB_model/modflow/scripts/virtualOS.py,1547,988,341,218,0.3451,42,23.14
./models/14_PCR-GLOBWB_model/modflow/scripts/waterBodies.py,618,371,159,88,0.4286,9,40.33
./models/14_PCR-GLOBWB_model/modflow/scripts/waterBodies_for_modflow.py,256,148,70,38,0.473,2,70.0
./models/14_PCR-GLOBWB_model/various_tools/crop_files_from_opendap/crop_nc_opendap_files.py,70,37,12,21,0.3243,1,32.0
./models/14_PCR-GLOBWB_model/various_tools/crop_files_from_opendap/crop_nc_opendap_files_using_local_files_on_eejit.py,74,39,14,21,0.359,1,34.0
./models/14_PCR-GLOBWB_model/various_tools/crop_files_from_opendap/making_opendap_file_list.py,42,19,6,17,0.3158,1,14.0
./models/14_PCR-GLOBWB_model/various_tools/merging_netcdf_aqueduct_2021/merging_daily_generic/merge_netcdf_general.py,575,299,167,109,0.5585,6,39.33
./models/14_PCR-GLOBWB_model/various_tools/merging_netcdf_aqueduct_2021/merging_daily_generic/merging_daily_variables.py,92,43,29,20,0.6744,0,0.0
./models/14_PCR-GLOBWB_model/various_tools/merging_netcdf_aqueduct_2021/merging_daily_generic/merging_daily_variables_only_2014.py,94,44,30,20,0.6818,0,0.0
./models/14_PCR-GLOBWB_model/various_tools/merging_netcdf_aqueduct_2021/merging_daily_generic/merging_daily_variables_only_2098-2100.py,94,44,30,20,0.6818,0,0.0
./models/14_PCR-GLOBWB_model/various_tools/merging_netcdf_aqueduct_2021/merging_daily_generic/merging_daily_variables_only_et0.py,93,42,31,20,0.7381,0,0.0
